DEBUG: General     , 1626028758499> LoggerManager.init                  > Initializing...
LOG  : General     , 1626028758517> cachedir set to "C:\Users\fjmco\Zomboid"
LOG  : General     , 1626028758525> 11-07-2021 19:39:18
LOG  : General     , 1626028758525> cachedir is "C:\Users\fjmco\Zomboid"
LOG  : General     , 1626028758526> LogFileDir is "C:\Users\fjmco\Zomboid\Logs"
LOG  : General     , 1626028758526> ===== System specs =====
LOG  : General     , 1626028758526> OS: Windows 10, version: 10.0, arch: amd64
LOG  : General     , 1626028758536> Processor: AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD
LOG  : General     , 1626028758536> Processor cores: 16
LOG  : General     , 1626028758536> Available processors (cores): 16
LOG  : General     , 1626028758537> Memory free: 1674.1375 MB
LOG  : General     , 1626028758537> Memory max: 1979.75 MB
LOG  : General     , 1626028758537> Memory  total available to JVM: 1731.75 MB
LOG  : General     , 1626028758538> C:\, Total: 475.69238 GB, Free: 170.12823 GB
LOG  : General     , 1626028758640> Mobo = [Product=LNVNB161216]
LOG  : General     , 1626028758730> CPU = [Manufacturer=AuthenticAMD,MaxClockSpeed=3201,Name=AMD Ryzen 7 5800H with Radeon Graphics]
LOG  : General     , 1626028759852> Graphics = { [AdapterRAM=2147483648,DriverVersion=27.20.14028.13002,Name=AMD Radeon(TM) Graphics], [AdapterRAM=4293918720,DriverVersion=27.21.14.6663,Name=NVIDIA GeForce RTX 3070 Laptop GPU] }
LOG  : General     , 1626028759947> VideoMode = [VideoModeDescription=2560 x 1600 x 4294967296 cores]
LOG  : General     , 1626028760039> Sound = { [Manufacturer=Nahimic,Name=Nahimic mirroring device], [Manufacturer=Realtek,Name=Realtek High Definition Audio], [Manufacturer=NVIDIA,Name=NVIDIA High Definition Audio], [Manufacturer=NVIDIA,Name=NVIDIA Virtual Audio Device (Wave Extensible) (WDM)] }
LOG  : General     , 1626028760126> Memory RAM = { [Capacity=8589934592,Manufacturer=Samsung], [Capacity=8589934592,Manufacturer=Samsung] }
LOG  : General     , 1626028760126> ========================
LOG  : General     , 1626028760126> -- listing properties --
LOG  : General     , 1626028760127> java.runtime.name=Java(TM) SE Runtime Environment
LOG  : General     , 1626028760127> sun.boot.library.path=C:\Program Files (x86)\Steam\steamapp...
LOG  : General     , 1626028760127> java.vm.version=25.121-b13
LOG  : General     , 1626028760127> java.vm.vendor=Oracle Corporation
LOG  : General     , 1626028760128> java.vendor.url=http://java.oracle.com/
LOG  : General     , 1626028760128> path.separator=;
LOG  : General     , 1626028760128> java.vm.name=Java HotSpot(TM) 64-Bit Server VM
LOG  : General     , 1626028760128> file.encoding.pkg=sun.io
LOG  : General     , 1626028760129> user.script=
LOG  : General     , 1626028760129> user.country=PT
LOG  : General     , 1626028760129> sun.os.patch.level=
LOG  : General     , 1626028760130> java.vm.specification.name=Java Virtual Machine Specification
LOG  : General     , 1626028760130> user.dir=C:\Program Files (x86)\Steam\steamapp...
LOG  : General     , 1626028760130> java.runtime.version=1.8.0_121-b13
LOG  : General     , 1626028760130> java.awt.graphicsenv=sun.awt.Win32GraphicsEnvironment
LOG  : General     , 1626028760130> java.endorsed.dirs=C:\Program Files (x86)\Steam\steamapp...
